FECHA;SUCURSAL;CONSUMO;OPERADOR
2026-09-01;CORRIENTES;120;mlopez
2026-09-01;RESISTENCIA;85;jperez
2026-09-01;FORMOSA;43;agomez
2026-09-02;CORRIENTES;310;mlopez
2026-09-02;POSADAS;97;rsosa
2026-09-02;RESISTENCIA;150;jperez
2026-09-03;CORRIENTES;78;cbenitez
2026-09-03;FORMOSA;265;agomez
2026-09-03;POSADAS;54;rsosa
2026-09-04;RESISTENCIA;402;jperez
2026-09-04;CORRIENTES;188;cbenitez
2026-09-04;SAENZ PENA;61;dvera
2026-09-05;POSADAS;233;rsosa
2026-09-05;CORRIENTES;95;mlopez
2026-09-05;FORMOSA;147;agomez
2026-09-06;RESISTENCIA;58;dvera
2026-09-06;SAENZ PENA;376;dvera
2026-09-06;CORRIENTES;212;cbenitez
2026-09-07;POSADAS;134;rsosa
2026-09-07;FORMOSA;89;agomez
2026-09-07;RESISTENCIA;296;jperez
2026-09-08;CORRIENTES;441;mlopez
2026-09-08;SAENZ PENA;72;dvera
2026-09-08;POSADAS;180;rsosa
